UN_cur,UN_ssp1,UN_ssp3,UN_ssp5,pop_cur,pop_ssp1,pop_ssp3,pop_ssp5,lat,lng
0.857273022,1.228469048,1.520998932,2.846595558,149186.2344,204557.4688,159099.2813,242166.25,57.5,16.5
2.4728448569999997,2.4728448569999997,2.4728448569999997,5.65593039,254364.0625,217636.7188,213958.7813,220187.0,57.5,23.5
63.73806328,64.72608141,64.72608141,99.21972992,889789.5,823760.75,755921.5625,833403.625,57.5,24.5
1878.212965,1878.2041600000002,1878.2041600000002,1878.2041600000002,40425.06641,0.0,0.0,0.0,57.5,29.5
0.035186457000000004,0.035186457000000004,0.035186457000000004,0.035186457000000004,45077.71094,26455.67578,37869.46875,29045.67773,57.5,33.5
1.957632618,1.957705174,1.957705174,1.958436106,144778.3438,133982.6094,136570.9844,141338.4688,57.5,34.5
1.379188841,1.379188841,1.379188841,1.379188841,475795.375,487161.5938,463404.8125,511657.0,57.5,35.5
3980.8546380000003,2255.5902530000003,1978.053312,3910.453096,250231.4375,0.0,0.0,0.0,57.5,37.5
10252.66702,7410.485791,6894.7098129999995,10180.945290000001,204571.9688,150182.1563,180593.8906,161073.25,57.5,38.5
63702.47925,55235.97803,53403.85375,63621.41806,0.0,0.0,0.0,458159.4063,57.5,39.5
19381.39181,13292.13517,12984.21155,19003.70518,481486.4375,448122.1875,454621.375,473481.0,57.5,41.5
7186.194248000001,4559.431979,4500.5796869999995,7065.338353,194432.6875,0.0,0.0,0.0,57.5,42.5
75.06330381,73.24187931,73.19049618,75.06330381,71405.45313,44131.62109,60401.19922,47927.60156,57.5,44.5
20.6911262,13.47259774,13.29349879,20.69073219,46723.9375,0.0,39280.51953,0.0,57.5,51.5
56.77735214,45.66360984,44.43585898,56.61412581,101277.6406,62896.96094,85662.38281,68206.5,57.5,52.5
2729.3055679999998,2168.055596,2089.529532,2703.395697,845898.625,840128.3125,816092.875,882311.9375,57.5,53.5
6481.674198,5761.150492,5673.958105,6399.787172,147617.875,116099.9219,132804.0781,123643.7891,57.5,54.5
0.0,0.0,0.0,0.0,64270.640629999994,39024.30078,54232.58594,42554.49219,57.5,58.5
0.0,0.0,0.0,0.0,330476.3438,218915.0,284138.625,236462.375,57.5,59.5
146.4407419,151.3772618,151.3772618,151.3772618,1735971.75,1616571.875,1640336.375,1704595.375,57.5,60.5
1.641369598,1.347119636,1.347119636,1.641392077,308586.0313,239756.9688,276326.3438,255824.9375,57.5,61.5
243.98327030000002,134.76083400000002,130.1336237,242.3845833,157605.875,122561.125,141066.4531,131150.5,57.5,62.5
2.354124479,0.637890954,0.62020395,2.356655441,736960.8125,753945.625,717296.125,792305.75,57.5,65.5
